rank,gloss,count,n_videos
1,"은혜,은총",18,18
2,인터뷰,12,12
3,아르헨티나,12,12
4,스페인,12,12
5,마리아,12,12
6,"말실수,실언",12,12
7,러시아,12,12
8,-관,12,12
9,"삼,셋",12,12
10,유행,12,12
11,아프리카,12,12
12,설거지,12,12
13,이탈리아,12,12
14,호주,12,12
15,복사,12,12
16,필리핀,12,12
17,이집트,12,12
18,학수고대,12,12
19,소매치기,12,12
20,만,12,12
21,천,12,12
22,독일,12,12
23,"제사,제",12,12
24,"둘,이",12,12
25,"넷,사",12,12
26,몽골,12,12
27,"(시간)시,시간",12,12
28,네덜란드,12,12
29,백,12,12
30,보고서,12,12
31,당사자,12,12
32,중국,12,12
33,경상남도,11,11
34,인도(공화국),11,11
35,"십,열",11,11
36,(총을 쏘는)사수,11,11
37,동해,11,11
38,"보라,보라색",11,11
39,브라질,11,11
40,영국,11,11
41,미국,11,11
42,이스라엘,11,11
43,두통,11,11
44,태국,11,11
45,항복,11,11
46,프랑스,10,10
47,스위스,10,10
48,의리,10,10
49,사격,10,10
50,멕시코,10,10
51,쌓다,9,9
52,씩씩하다,9,9
53,매일,9,9
54,"내키다,싶다,원하다,바라다,소원,바람,욕구,염원,원",9,6
55,폭등,8,5
56,궁색,8,6
57,"넘어가다,서,저물다,지다",7,7
58,"영업,상업",7,7
59,"열둘,십이",7,7
60,양심,7,7
61,"표창,포상",7,6
62,"국가시험,국가 고시",7,5
63,등산,7,7
64,내력,7,5
65,파나마,7,5
66,(맛이)짜다,7,6
67,소주,6,6
68,남대문,6,6
69,대학교,6,6
70,박씨,6,6
71,"선수를 치다,손쓰다,할까봐",6,6
72,"가라앉히다,냉각,가라앉다",6,6
73,검은색,6,6
74,체육관,6,6
75,"위로,위안",6,6
76,예사,6,6
77,일치,6,6
78,"접속,링크,연결",6,6
79,"호모,게이",6,6
80,"만,뿐,다만,단지,오로지,오직,한낱",6,6
81,"간추리다,집약",6,6
82,"미군,미국군",6,6
83,"열다섯,십오",6,6
84,"가지고 다니다,휴대",6,6
85,특수 교육 대상자,6,6
86,상승,6,6
87,계율,6,6
88,공장,6,6
89,돌잔치,6,6
90,만나다,6,6
91,쿠바,6,6
92,도입,6,6
93,"반발,반항,불복,불순종,저항,어기다",6,6
94,영상 메시지,6,6
95,"게우다,구토,토하다",6,6
96,"저축,예금,적금",6,6
97,인공와우,6,6
98,"행복,복",6,6
99,포복절도,6,6
100,방송,6,6
101,보조견,6,6
102,"지하철,전철",6,6
103,남아프리카공화국,6,6
104,뻔하다,6,6
105,떠들다,6,6
106,약하다,6,6
107,"가만있다,멈추다,멎다",6,6
108,"자부심,자부",6,6
109,"잔디,풀",6,6
110,짐바브웨,6,6
111,"발표,광고,표시,표현,나타내다,드러내다",6,6
112,"법,법규,법률,법칙",6,6
113,"수납,보수",6,6
114,"슬프다,슬픔,슬퍼하다,설움",6,6
115,"비닐,플라스틱",6,6
116,침대,6,6
117,연구소,6,6
118,시민,6,6
119,"빼다,깎다,덜다,제하다,배제,감면,빼기,제외,공제,생략,경감",6,6
120,항문,6,6
121,진동,6,6
122,천년,6,6
123,신체적 장애,6,6
124,"다급하다,성급하다,조급하다",6,6
125,자매,6,6
126,"사정,정액",6,6
127,리비아,6,6
128,먹,6,6
129,"이외,기타",6,6
130,"살인,살해",6,6
131,"때리다,손찌검,패다,후려치다",6,6
132,"결핵,폐결핵,폐병",6,6
133,ㅂ,6,6
134,알다,6,6
135,반찬,6,6
136,아찔하다,6,6
137,추월,6,6
138,"리더,지도자",6,6
139,민주,6,6
140,재빠르다,6,6
141,교장,6,6
142,시치미를 떼다,6,6
143,"격파,깨어지다",6,6
144,띵하다,6,6
145,"멀다,멀리",6,6
146,글피,6,6
147,성병,6,6
148,(여자)권사,6,6
149,"학자금,학비,수업료",6,6
150,ㅠ,6,6
151,"길다,오래다,오래",6,6
152,"위험,험하다",6,6
153,"월급쟁이,봉급생활자,샐러리맨",6,6
154,함경북도,6,6
155,독립문,6,6
156,"문의,물음,질문,묻다,물어보다,여쭈다,여쭙다,-ㅂ니까",6,6
157,불법,6,6
158,보내다,6,6
159,"자라다,발육,성숙,성장,장성",6,6
160,로마,6,6
161,지식인,6,6
162,전람,6,6
163,소재,6,6
164,(택배)배달원,6,6
165,"왕,제왕,황제",6,6
166,(남자)권사,6,6
167,"이론,쓰다",6,6
168,회견,6,6
169,조종,6,6
170,"요트,돛",6,6
171,소득,6,6
172,"보물,보석,보화",6,6
173,올림픽,6,6
174,ㅏ,6,6
175,그끄저께,6,6
176,낮잠,6,6
177,뜨개질,6,6
178,"지난주,작주,전주",6,6
179,"엉덩이,궁둥이,볼기,히프",6,6
180,키가 크다,6,6
181,"줄,대열,늘어서다,줄지어 서다,행렬",6,6
182,"이름,명,성명,성함",6,6
183,선수,6,6
184,내려오다,6,6
185,피부,6,6
186,며칠,6,6
187,괴팍하다,6,6
188,"사업,비즈니스",6,6
189,전라남도,6,6
190,시다,6,6
191,"시모,시어머니",6,6
192,"바쁘다,분주하다",6,6
193,중학교,6,6
194,콧물,6,6
195,"고,옛",6,6
196,도살,6,6
197,"긁어먹다,등치다",6,6
198,"망하다,도산,파산,망치다",6,6
199,탑골공원,6,6
200,거인,6,6
201,"불쌍하다,가련하다,가엾다,애처롭다,측은하다",6,6
202,ㅢ,6,6
203,보고,6,6
204,시인,6,6
205,"걸레,행주",6,6
206,등록비,6,6
207,"잘하다,잘",6,6
208,"돕다,거들다,기여,도움,보조,원조,지원,찬조",6,6
209,세리,6,6
210,"자유,임의,마구,마음껏,마음대로,멋대로,제멋대로,함부로",6,6
211,출석부,6,6
212,아깝다,6,6
213,"가난,곤궁,궁핍,빈곤",6,6
214,"탄압,압박,억압",6,6
215,"서로,상호",6,6
216,"자각,독각,연각",6,6
217,"곤충,벌레",6,6
218,농아인,6,6
219,"법원,재판소",6,6
220,"구실,명목,핑계",6,6
221,무의미,6,6
222,칠월,6,6
223,"구공탄,연탄",6,6
224,산악,6,6
225,"날짜,언제",6,6
226,"오너라,오라",6,6
227,삼월,6,6
228,운영,6,6
229,속다,6,6
230,"완장,팔띠",6,6
231,냉장고,6,6
232,과징금,6,6
233,키다리,6,6
234,청자,6,6
235,휴게실,6,6
236,문란,6,6
237,촌장,6,6
238,빵집,6,6
239,문화재,6,6
240,1층,6,6
241,어리다,6,6
242,"관리인,관리자",6,6
243,"근면,열성,열심",6,6
244,처가,6,6
245,비자,6,6
246,"마누라,미시즈,배우자,부인,아내,처",6,6
247,"절반,반",6,6
248,충신,6,6
249,철학,6,6
250,갈망,6,6
251,"농인,농아인",6,6
252,아카시아 꽃,6,6
253,접종,6,6
254,방문자,6,6
255,"신중,경계,조심,주의,준수,지키다",6,6
256,요리사,6,6
257,친지,6,6
258,법정,6,6
259,특수교육,6,6
260,새어머니,6,6
261,수원,6,6
262,입장을 바꾸다,6,6
263,"감정,기분,정서",6,6
264,"이슬람교,회교",6,6
265,세상,6,6
266,두드러지다,6,6
267,마라톤,6,6
268,우상,6,6
269,경마장,6,6
270,세차,6,6
271,닦다,6,6
272,빼버리다,6,6
273,"스물,이십",6,6
274,"거스름돈,잔액",6,6
275,"맞지 않다,적합하지 않다",6,6
276,"갑자기,갑작스럽다,별안간,갑작스레",6,6
277,시각장애인,6,6
278,귀걸이,6,6
279,누룽지,6,6
280,교황,6,6
281,"시아버지,시부",6,6
282,경색,6,6
283,명예,6,6
284,녹화,6,6
285,"본질,본성",6,6
286,어기다,6,6
287,뿌리치다,6,6
288,부처님,6,6
289,제일이다,6,6
290,뼈,6,6
291,여기,6,6
292,주님,6,6
293,리,6,6
294,"기미,눈치",6,6
295,(온도가)내리다,6,6
296,가느다랗다,6,6
297,"곱빼기,배가",6,6
298,왠지,6,6
299,"곱,곱하기,곱하다",6,6
300,"현행범,현행 범인",6,6
